name,artist,year,search_query
BAILE INoLVIDABLE,Bad Bunny,2025,Bad Bunny BAILE INoLVIDABLE
Raindance,Dave & Tems,2025,Dave Raindance
WHERE IS MY HUSBAND!,RAYE,2025,RAYE WHERE IS MY HUSBAND!
I Just Might,Bruno Mars,2025,Bruno Mars I Just Might
תמיד אוהב אותי,ששון איפרם שאולוב,2025,ששון איפרם שאולוב תמיד אוהב אותי
מלכת הדור,עומר אדם,2025,Omer Adam מלכת הדור
סופרמן,עידן עמדי,2025,Idan Amedi סופרמן
New Day Will Rise,יובל רפאל,2025,יובל רפאל New Day Will Rise
Die With A Smile,Lady Gaga & Bruno Mars,2024,Lady Gaga Die With A Smile
Espresso,Sabrina Carpenter,2024,Sabrina Carpenter Espresso
APT.,Rosé & Bruno Mars,2024,ROSÉ APT.
Beautiful Things,Benson Boone,2024,Benson Boone Beautiful Things
Hurricane,עדן גולן,2024,Eden Golan Hurricane
תרקדי,אושר כהן,2024,Osher Cohen תרקדי (7.10.23)
גיבורי על,התקווה 6,2024,Hatikva 6 גיבורי על
מנגן ושר,אושר כהן,2024,Osher Cohen מנגן ושר
Flowers,Miley Cyrus,2023,Miley Cyrus Flowers
Vampire,Olivia Rodrigo,2023,Olivia Rodrigo vampire
Kill Bill,SZA,2023,SZA Kill Bill
What Was I Made For?,Billie Eilish,2023,"Billie Eilish What Was I Made For? [From The Motion Picture ""Barbie""]"
Unicorn,נועה קירל,2023,Noa Kirel Unicorn
אהבה,אושר כהן,2023,Osher Cohen אהבה
As It Was,Harry Styles,2022,Harry Styles As It Was
Calm Down,Rema,2022,Rema Calm Down
I'm Good (Blue),David Guetta & Bebe Rexha,2022,David Guetta I'm Good (Blue)
Running Up That Hill,Kate Bush,2022,Kate Bush Running Up That Hill (A Deal With God)
Unholy,Sam Smith & Kim Petras,2022,Sam Smith Unholy
סתלבט בקיבוץ,פול טראנק וג'ימבו ג'יי,2022,Full Trunk סתלבט בקיבוץ
לך לישון,אנה זק,2022,Anna Zak לך לישון
פעמון,נועה קירל ואיתי גלו,2022,Noa Kirel פעמון
בואי נישן על זה,עדן חסון,2022,עדן חסון בואי נישן על זה
Easy On Me,Adele,2021,Adele Easy On Me
Bad Habits,Ed Sheeran,2021,Ed Sheeran Bad Habits
Save Your Tears,The Weeknd,2021,The Weeknd Save Your Tears
Stay,The Kid LAROI & Justin Bieber,2021,The Kid LAROI STAY
Peaches,Justin Bieber,2021,Justin Bieber Peaches
בית משוגעים,רן דנקר,2021,Ran Danker בית משוגעים
רסיסים,רביב כנר,2021,Raviv Kaner רסיסים
טרילילי טרללה,נועה קירל ואילן פלד,2021,Noa Kirel טרילילי טרללה
שרק תחייך,יובל דיין,2021,Yuval Dayan שרק תחייך
אפס מאמץ,סטטיק ובן אל תבורי,2021,Static & Ben El Tavori אפס מאמץ
Blinding Lights,The Weeknd,2020,The Weeknd Blinding Lights
everything i wanted,Billie Eilish,2020,Billie Eilish everything i wanted
Adore You,Harry Styles,2020,Harry Styles Adore You
Lonely,Justin Bieber & Benny Blanco,2020,Justin Bieber Lonely
positions,Ariana Grande,2020,Ariana Grande positions
שלמים,עידן רפאל חביב,2020,Idan Rafael Haviv שלמים
אם תרצי,חנן בן ארי,2020,Hanan Ben Ari אם תרצי
מיליון דולר,נועה קירל,2020,Noa Kirel מיליון דולר
ואז את תראי,דולי ופן,2020,Doli 'n' Penn ואז את תראי
זוט עני,אלה לי להב,2020,Ella Lee זוט עני
Bad Guy,Billie Eilish,2019,Billie Eilish bad guy (with Justin Bieber)
7 Rings,Ariana Grande,2019,Ariana Grande 7 rings
Soldi,Mahmood,2019,Mahmood Soldi
Senorita,Shawn Mendes & Camila Cabello,2019,Shawn Mendes Señorita
"Thank U, Next",Ariana Grande,2019,"Ariana Grande thank u, next"
מסע,אליעד נחום,2019,Eliad מסע
הלב שלי,ישי ריבו,2019,Ishay Ribo הלב שלי
אלוף העולם,חנן בן ארי,2019,Hanan Ben Ari אלוף העולם
Girls Like You,Maroon 5 ft. Cardi B,2018,Maroon 5 Girls Like You (Cardi B Version)
Genius,LSD,2018,"LSD Genius (feat. Lil Wayne, Sia, Diplo & Labrinth) (Lil Wayne Remix)"
Shallow,Lady Gaga & Bradley Cooper,2018,Lady Gaga Shallow
Taki Taki,DJ Snake,2018,DJ Snake Taki Taki
In My Feelings,Drake,2018,Drake In My Feelings
Toy,נטע ברזילי,2018,Netta TOY (Music Video Version)
שני משוגעים,עומר אדם,2018,Omer Adam שני משוגעים
חיים שלי,עדן בן זקן,2018,Eden Ben Zaken חיים שלי
תל אביב,עומר אדם,2018,Omer Adam תל אביב
Shape Of You,Ed Sheeran,2017,Ed Sheeran Shape of You
Despacito,Luis Fonsi & Daddy Yankee,2017,Luis Fonsi Despacito
Perfect,Ed Sheeran,2017,Ed Sheeran Perfect
Havana,Camila Cabello,2017,Camila Cabello Havana (feat. Young Thug)
Rockabye,Clean Bandit,2017,Clean Bandit Rockabye (feat. Sean Paul & Anne-Marie)
רציתי,עדן בן זקן,2017,Eden Ben Zaken רציתי
קרנבל,סטטיק ובן אל תבורי,2017,Static & Ben El Tavori קרנבל
Cheap Thrills,Sia,2016,Sia Cheap Thrills (feat. Sean Paul)
Love Yourself,Justin Bieber,2016,Justin Bieber Love Yourself
Can't Stop the Feeling,Justin Timberlake,2016,"Justin Timberlake CAN'T STOP THE FEELING! (from DreamWorks Animation's ""TROLLS"")"
Hymn for the Weekend,Coldplay,2016,Coldplay Hymn for the Weekend
24K Magic,Bruno Mars,2016,Bruno Mars 24K Magic
בסיבוב,עדן בן זקן,2016,Eden Ben Zaken בסיבוב הבא
מלכת השושנים,עדן בן זקן,2016,Eden Ben Zaken מלכת השושנים
Hello,Adele,2015,Adele Hello
Uptown Funk,Mark Ronson ft. Bruno Mars,2015,Mark Ronson Uptown Funk (feat. Bruno Mars)
Love Me Like You Do,Ellie Goulding,2015,"Ellie Goulding Love Me Like You Do (From ""Fifty Shades Of Grey"")"
See You Again,Wiz Khalifa ft. Charlie Puth,2015,Wiz Khalifa See You Again (feat. Charlie Puth)
How Deep Is Your Love,Calvin Harris,2015,Calvin Harris How Deep Is Your Love
מתוק כשמרלי,אליעד נחום,2015,Eliad מתוק כשמרלי
Golden Boy,נדב גדג',2015,Nadav Guedj Golden Boy
מודה אני,עומר אדם,2015,Omer Adam מודה אני
בסיבוב,עדן בן זקן,2015,Eden Ben Zaken בסיבוב הבא
Chandelier,Sia,2014,Sia Chandelier
Happy,Pharrell Williams,2014,"Pharrell Williams Happy (From ""Despicable Me 2"")"
Take Me to Church,Hozier,2014,Hozier Take Me To Church
All of Me,John Legend,2014,John Legend All of Me
Stolen Dance,Milky Chance,2014,Milky Chance Stolen Dance
ילד של אבא,מוקי,2014,Mooki ילד של אבא
לב חופשי,מוקי,2014,Mooki לב חופשי
מתנות קטנות,רמי קלינשטיין,2014,Rami Kleinstein מתנות קטנות
יפה כלבנה,אביתר בנאי,2014,Eviatar Banai יפה כלבנה
ימים יגידו,אייל גולן,2014,Eyal Golan ימים יגידו
Let Her Go,Passenger,2013,Passenger Let Her Go
Wake Me Up,Avicii,2013,Avicii Wake Me Up
Do I Wanna Know,Arctic Monkeys,2013,Arctic Monkeys Do I Wanna Know?
Mirrors,Justin Timberlake,2013,Justin Timberlake Mirrors (Radio Edit)
בלילה,הפרויקט של עידן רייכל,2013,The Idan Raichel Project בלילה
עכשיו קרוב,הפרויקט של עידן רייכל,2013,The Idan Raichel Project עכשיו קרוב
בזמן האחרון,עידן עמדי,2013,Idan Amedi בזמן האחרון
