name,artist,year,search_query
Rock Around the Clock,Bill Haley & His Comets,1955,Bill Haley & His Comets Rock Around the Clock
Tutti Frutti,Little Richard,1955,Little Richard Tutti frutti
Hound Dog,Elvis Presley,1956,Elvis Presley Jailhouse Rock / Hound Dog / Long Tall Sally / Hard Headed Woman / You're so Square / Teddy Bear / Don't Be Cuel / Blue Suede Shoe
Blue Suede Shoes,Elvis Presley,1956,Elvis Presley Blue Suede Shoes (New Sound Remastered)
All Shook Up,Elvis Presley,1957,Elvis Presley All Shook Up
Jailhouse Rock,Elvis Presley,1957,Elvis Presley Jailhouse Rock
Johnny B. Goode,Chuck Berry,1958,Chuck Berry Johnny B. Goode
Lollipop,The Chordettes,1958,The Chordettes Lollipop
Put Your Head on My Shoulder,Paul Anka,1959,Paul Anka Put Your Head on My Shoulder
Dream Lover,Bobby Darin,1959,Bobby Darin Dream Lover
The Twist,Chubby Checker,1960,Elvis Presley Let's Twist Again / The Twist / Move It / Dynamite / You Keep a Knocking / Long Tall Sally / King Creole / Great Balls of Fire / W
Cathy's Clown,The Everly Brothers,1960,Elvis Presley Blue Moon / Lucille / Cathy's Clown / Sweet Nothings / The Loco Motion / Stupid Cupid / Little Sister / When You Ask About Love / 
Runaway,Del Shannon,1961,Del Shannon Runaway
The Lion Sleeps Tonight,The Tokens,1961,The Tokens The Lion Sleeps Tonight (Wimoweh)
Love Me Do,The Beatles,1962,The Beatles Love Me Do (Mono / Remastered)
Sherry,The Four Seasons,1962,The Four Seasons Sherry (Remastered)
I Want to Hold Your Hand,The Beatles,1963,The Beatles I Want To Hold Your Hand (Remastered 2015)
Be My Baby,The Ronettes,1963,The Ronettes Be My Baby
"Oh, Pretty Woman",Roy Orbison,1964,"Roy Orbison Oh, Pretty Woman"
My Girl,The Temptations,1964,The Temptations My Girl
Help!,The Beatles,1965,The Beatles With A Little Help From My Friends (Remastered 2009)
I Got You (I Feel Good),James Brown,1965,James Brown I Got You (I Feel Good)
I'm a Believer,The Monkees,1966,The Monkees I'm a Believer
Good Vibrations,The Beach Boys,1966,The Beach Boys Good Vibrations (Remastered 2001)
Happy Together,The Turtles,1967,The Turtles Happy Together
Daydream Believer,The Monkees,1967,The Monkees Daydream Believer
Yummy Yummy Yummy,Ohio Express,1968,"Ohio Express Yummy, Yummy, Yummy"
Build Me Up Buttercup,The Foundations,1968,The Foundations Build Me Up Buttercup
"Sugar, Sugar",The Archies,1969,The Archies Sugar Sugar
Joy to the World,Three Dog Night,1971,Three Dog Night Joy To The World
Maggie May,Rod Stewart,1971,Rod Stewart Maggie May
Crocodile Rock,Elton John,1972,Elton John Crocodile Rock
Ben,Michael Jackson,1972,The Jacksons Ben
Waterloo,ABBA,1974,ABBA Waterloo
Kung Fu Fighting,Carl Douglas,1974,Carl Douglas Kung Fu Fighting
Mamma Mia,ABBA,1975,ABBA Mamma Mia
Love Will Keep Us Together,Captain & Tennille,1975,Captain & Tennille Love Will Keep Us Together
Dancing Queen,ABBA,1976,ABBA Dancing Queen
Don't Go Breaking My Heart,Elton John & Kiki Dee,1976,Elton John Don't Go Breaking My Heart
Stayin' Alive,Bee Gees,1977,"Bee Gees Stayin' Alive (From ""Saturday Night Fever"" Soundtrack)"
Best of My Love,The Emotions,1977,The Emotions Best of My Love
אבניבי,יזהר כהן,1978,Guy Davidov אבניבי (Remix)
Y.M.C.A.,Village People,1978,Village People YMCA (Original Version 1978)
הללויה,חלב ודבש,1979,Gali Atari הללויה
I Will Survive,Gloria Gaynor,1979,Gloria Gaynor I Will Survive (Rerecorded)
Call Me,Blondie,1980,Blondie Call Me
Upside Down,Diana Ross,1980,Diana Ross Upside Down
Woman in Love,Barbra Streisand,1980,Barbra Streisand Woman In Love
Physical,Olivia Newton-John,1981,Olivia Newton-John Physical (Remastered 2021)
Mickey,Toni Basil,1981,Toni Basil Hey Mickey
Don't You Want Me,The Human League,1981,The Human League Don't You Want Me
Maneater,Hall & Oates,1982,Daryl Hall & John Oates Maneater
Eye of the Tiger,Survivor,1982,Survivor Eye of the Tiger
Billie Jean,Michael Jackson,1982,Michael Jackson Billie Jean
Flashdance... What a Feeling,Irene Cara,1983,Irene Cara Flashdance… What A Feeling (from Flashdance) (Re-Recorded)
Thriller,Michael Jackson,1983,Michael Jackson Thriller
Sweet Dreams (Are Made of This),Eurythmics,1983,Eurythmics Sweet Dreams (Are Made of This) (2005 Remaster)
Like a Virgin,Madonna,1984,Madonna Like a Virgin
Wake Me Up Before You Go-Go,Wham!,1984,Wham! Wake Me Up Before You Go-Go
Girls Just Want to Have Fun,Cyndi Lauper,1984,Cyndi Lauper Girls Just Want to Have Fun
Material Girl,Madonna,1985,Madonna Material Girl
Take On Me,a-ha,1985,a-ha Take on Me
דרישת שלום,ירדנה ארזי,1985,Lehakat Hanachal דרישת שלום
Venus,Bananarama,1986,Bananarama Venus
True Blue,Madonna,1986,Madonna True Blue
סוד,אדם,1987,Adam סוד
I Wanna Dance with Somebody,Whitney Houston,1987,Whitney Houston I Wanna Dance with Somebody (Who Loves Me)
La Isla Bonita,Madonna,1987,Madonna La Isla Bonita
The Loco-Motion,Kylie Minogue,1988,Kylie Minogue The Loco-Motion
Straight Up,Paula Abdul,1988,Paula Abdul Straight Up (Single Version)
Like a Prayer,Madonna,1989,Madonna Like a Prayer
Eternal Flame,The Bangles,1989,The Bangles Eternal Flame (Acoustic Version)
Lambada,Kaoma,1989,Kaoma Lambada (Original Version 1989)
Vogue,Madonna,1990,Madonna Vogue
Ice Ice Baby,Vanilla Ice,1990,Vanilla Ice Ice Ice Baby
U Can't Touch This,MC Hammer,1990,MC Hammer U Can't Touch This
Black or White,Michael Jackson,1991,Michael Jackson Black or White (Single Version)
חי,עפרה חזה,1991,Ofra Haza חי
Shiny Happy People,R.E.M.,1991,R.E.M. Shiny Happy People
Save the Best for Last,Vanessa Williams,1992,Vanessa Williams Save The Best For Last
Baby Got Back,Sir Mix-a-Lot,1992,Sir Mix-A-Lot Baby Got Back
Jump,Kris Kross,1992,Kris Kross Jump
All That She Wants,Ace of Base,1993,Ace of Base All That She Wants
The Sign,Ace of Base,1993,Ace of Base The Sign
I Will Always Love You,Whitney Houston,1993,Whitney Houston I Will Always Love You
Stay (I Missed You),Lisa Loeb,1994,Lisa Loeb Stay (I Missed You)
Cotton Eye Joe,Rednex,1994,Rednex Cotton Eye Joe
"Baby, I Love Your Way",Big Mountain,1994,"Big Mountain Baby, I Love Your Way"
Macarena,Los Del Rio,1995,Los Del Río Macarena
Waterfalls,TLC,1995,TLC Waterfalls
Scatman (Ski-Ba-Bop-Ba-Dop-Bop),Scatman John,1995,Scatman John Scatman (ski-ba-bop-ba-dop-bop)
Wannabe,Spice Girls,1996,Spice Girls Wannabe
Coco Jamboo,Mr. President,1996,Mr. President Coco Jamboo (Radio Version)
Say You'll Be There,Spice Girls,1996,Spice Girls Say You'll Be There
Spice Up Your Life,Spice Girls,1997,Spice Girls Spice Up Your Life
Barbie Girl,Aqua,1997,Aqua Barbie Girl
MMMBop,Hanson,1997,Hanson MMMBop (Single Version)
...Baby One More Time,Britney Spears,1998,Britney Spears ...Baby One More Time
Believe,Cher,1998,Cher Believe
Genie in a Bottle,Christina Aguilera,1999,Christina Aguilera Genie In a Bottle
I Want It That Way,Backstreet Boys,1999,Backstreet Boys I Want It That Way
Mambo No. 5,Lou Bega,1999,Lou Bega Mambo No. 5 (a Little Bit of...)
Bye Bye Bye,NSYNC,2000,*NSYNC Bye Bye Bye
It's My Life,Bon Jovi,2000,Bon Jovi It's My Life
Can't Get You Out of My Head,Kylie Minogue,2001,Kylie Minogue Can't Get You out of My Head
Lady Marmalade,"Christina Aguilera, Lil' Kim, Mya, Pink",2001,"Christina Aguilera, Lil' Kim, Pink, Mya Lady Marmalade (From"
