name,artist,year
Bohemian Rhapsody,Queen,1975
Hotel California,Eagles,1977
Billie Jean,Michael Jackson,1982
Sweet Child O' Mine,Guns N' Roses,1987
Smells Like Teen Spirit,Nirvana,1991
Wonderwall,Oasis,1995
Lose Yourself,Eminem,2002
Hey Ya!,Outkast,2003
Rolling in the Deep,Adele,2010
Blinding Lights,The Weeknd,2019
Shape of You,Ed Sheeran,2017
Old Town Road,Lil Nas X,2019
Uptown Funk,Bruno Mars,2014
Happy,Pharrell Williams,2013
Stairway to Heaven,Led Zeppelin,1971
Like a Rolling Stone,Bob Dylan,1965
Purple Haze,Jimi Hendrix,1967
What's Going On,Marvin Gaye,1971
Superstition,Stevie Wonder,1972
Born to Run,Bruce Springsteen,1975
Don't Stop Believin',Journey,1981
Sweet Home Alabama,Lynyrd Skynyrd,1974
Africa,Toto,1982
Take On Me,A-ha,1985
Don't You (Forget About Me),Simple Minds,1985
Girls Just Want to Have Fun,Cyndi Lauper,1983
Jump,Van Halen,1984
Like a Prayer,Madonna,1989
Under the Bridge,Red Hot Chili Peppers,1992
Waterfalls,TLC,1995
Killing Me Softly,Fugees,1996
No Scrubs,TLC,1999
...Baby One More Time,Britney Spears,1999
Beautiful Day,U2,2000
In Da Club,50 Cent,2003
Yeah!,Usher,2004
Since U Been Gone,Kelly Clarkson,2004
Hips Don't Lie,Shakira,2006
Umbrella,Rihanna,2007
Single Ladies,Beyoncé,2008
Poker Face,Lady Gaga,2008
Dynamite,Taio Cruz,2010
Someone Like You,Adele,2011
Call Me Maybe,Carly Rae Jepsen,2012
Thrift Shop,Macklemore,2012
Get Lucky,Daft Punk,2013
Stay With Me,Sam Smith,2014
See You Again,Wiz Khalifa,2015
Stressed Out,Twenty One Pilots,2015
Sorry,Justin Bieber,2015
Closer,The Chainsmokers,2016
Despacito,Luis Fonsi,2017
Rockstar,Post Malone,2017
God's Plan,Drake,2018
Dance Monkey,Tones and I,2019
Watermelon Sugar,Harry Styles,2019
Levitating,Dua Lipa,2020
drivers license,Olivia Rodrigo,2021
good 4 u,Olivia Rodrigo,2021
As It Was,Harry Styles,2022
Heat Waves,Glass Animals,2020
Stay,The Kid LAROI,2021
